emb_type,m,n,k,cohesion-lit-gpt-p-val,cohesion-lit-bot-p-val,separation-lit-gpt-p-val,separation-lit-bot-p-val,RS-lit-gpt-p-val,RS-lit-bot-p-val,RMSSTD-lit-gpt-p-val,RMSSTD-lit-bot-p-val
svd,3,3,7,8.513512459514324e-117,0.0,9.851971445909292e-143,0.0,1.1618459711906628e-82,4.1974313274039784e-302,2.5399464739444832e-118,0.0
svd,3,3,8,5.1804006618856324e-24,0.0,5.770640281776205e-146,0.0,7.516283216164703e-99,1.7596881330476732e-304,7.049153483294258e-25,0.0
svd,3,3,9,1.2808901544338485e-18,0.0,1.477670674159244e-149,0.0,2.3161489607763788e-109,8.238205431586532e-300,1.5761866544495778e-19,0.0
svd,3,3,10,8.442853014882987e-18,0.0,2.804027723008124e-151,0.0,2.29639805505006e-114,4.789121883039853e-288,8.259684806986781e-19,0.0
svd,3,4,5,1.4487426037741287e-154,0.0,1.067638030580778e-149,0.0,1.1120657258460864e-66,9.51736657164114e-187,8.516599063118643e-155,0.0
svd,3,4,6,4.2882161638474767e-159,0.0,7.27979831474941e-146,0.0,1.180216817606716e-61,5.280976233244606e-181,1.8634126932291168e-159,0.0
svd,3,4,7,6.936921680395589e-162,0.0,1.608557932534247e-145,0.0,7.806788261882439e-70,5.5251599476526174e-182,2.05010448189394e-162,0.0
svd,3,4,8,1.0788591315347789e-163,0.0,9.041114743934262e-147,0.0,1.3112920991104835e-82,7.9326013948361125e-202,2.799249076027457e-164,0.0
svd,3,4,9,1.7613592675508692e-163,0.0,9.328592463413518e-146,0.0,1.3386586458612412e-82,2.8676525853717607e-184,2.2664116575782905e-164,0.0
svd,3,4,10,2.947480870870231e-163,0.0,4.25397188124097e-145,0.0,8.897356116204324e-84,1.1953762019649764e-180,1.6770638498580511e-164,0.0
svd,3,5,5,4.247381094600367e-152,0.0,1.9859864210533457e-153,0.0,1.2021883120694956e-69,5.391788854628831e-47,3.2506272559863465e-152,0.0
svd,3,5,6,2.295157642786376e-152,0.0,2.1347589560734088e-152,0.0,2.149632441972962e-62,3.8485453460275226e-142,1.5720487918225982e-152,0.0
svd,3,5,7,4.2555074416449866e-154,0.0,6.828672295845983e-150,0.0,1.1404060360644173e-61,6.024291632747871e-145,2.394568455486632e-154,0.0
svd,3,5,8,1.0688531128237094e-154,0.0,2.0694553240868667e-149,0.0,2.341861248328557e-68,7.366039586587237e-151,5.055631297887191e-155,0.0
svd,3,5,9,2.805441412415696e-155,0.0,2.3275907711432225e-149,0.0,3.701649071832499e-74,3.95855384145714e-164,1.0680719392557085e-155,0.0
svd,3,5,10,2.162917752074976e-155,0.0,4.048846856042775e-149,0.0,3.386432459830924e-77,3.2696882640024e-173,7.5418232218041e-156,0.0
svd,3,6,5,4.7312082462814126e-151,0.0,3.6163863457532616e-155,0.0,1.279131437635698e-68,6.005474369022711e-08,3.8798679865305326e-151,0.0
svd,3,6,6,7.022156112559756e-150,0.0,9.88607179839164e-156,0.0,5.1588158389471135e-64,1.0201721791871138e-40,5.288979912879609e-150,0.0
svd,3,6,7,7.090654213346611e-151,0.0,4.485420996407485e-154,0.0,2.5346710874898264e-59,1.004514141201599e-103,4.6373583207215696e-151,0.0
svd,3,6,8,1.4171703571888077e-150,0.0,4.082358564138147e-153,0.0,2.3603966867433268e-63,5.6195987681342675e-115,8.339057101634809e-151,0.0
svd,3,6,9,1.0281843539004228e-151,0.0,1.1141693279942115e-151,0.0,1.3403072376914931e-64,1.3187148010923303e-124,5.245539384928192e-152,0.0
svd,3,6,10,6.894637311553763e-151,0.0,1.3673427271945686e-151,0.0,1.7697466853510596e-68,4.29846308649811e-137,2.8209452671216643e-151,0.0
svd,3,7,5,2.4221884457719348e-151,0.0,1.0380793479744708e-155,0.0,6.977622512929477e-65,0.4130296570445383,2.0548471383729664e-151,0.0
svd,3,7,6,1.6587764554029137e-149,0.0,5.8236466789109997e-157,0.0,5.0305995650628805e-62,3.477276033295312e-07,1.2903266383947617e-149,0.0
svd,3,7,7,9.754080544629152e-149,0.0,1.0128000924704651e-156,0.0,2.0737548875977206e-61,1.806735461791625e-29,6.792221780051406e-149,0.0
svd,3,7,8,2.346212601753157e-149,0.0,6.2311479599854635e-155,0.0,2.915943758750507e-57,2.0646207362522905e-70,1.522523027480654e-149,0.0
svd,3,7,9,7.4429516651963275e-149,0.0,2.8386417828050614e-154,0.0,1.8420969539721884e-59,2.3570257849424453e-84,4.230088064404169e-149,0.0
svd,3,7,10,6.501402613244232e-149,0.0,1.38340405235575e-153,0.0,4.284889882013935e-61,3.081515761556595e-99,3.459625790968855e-149,0.0
svd,3,8,5,1.6119365987861622e-151,0.0,4.359241393623798e-155,0.0,2.0504111289626663e-55,0.3049280841155151,1.345562064417706e-151,0.0
svd,3,8,6,9.81843479739725e-150,0.0,4.548094757551939e-157,0.0,8.163463240172565e-56,0.3174373854072876,7.712641074311977e-150,0.0
svd,3,8,7,1.4924114374014071e-148,0.0,4.216880785760453e-157,0.0,2.110481028673844e-55,2.387958572394082e-06,1.0989646212306092e-148,0.0
svd,3,8,8,5.709243290604555e-148,0.0,5.432877874820168e-157,0.0,1.3452198494149077e-55,2.921923901316656e-21,4.067162092244952e-148,0.0
svd,3,8,9,5.916680851639739e-148,0.0,6.674715737996702e-156,0.0,3.9200072931793214e-54,1.2800412443897055e-46,3.7643441510772e-148,0.0
svd,3,8,10,5.912684440445401e-147,0.0,4.958176553453443e-156,0.0,6.581475342880212e-58,7.3840573986705e-60,3.3001149469369894e-147,0.0
svd,3,9,5,6.662662875939044e-152,0.0,1.6460574284542173e-154,0.0,1.6937828770284288e-48,0.0384878561446896,5.835129875234976e-152,0.0
svd,3,9,6,9.156314501712165e-150,0.0,9.352961371704235e-157,0.0,4.3926136977333056e-51,0.3974932187374284,7.485209323442262e-150,0.0
svd,3,9,7,3.653965042489488e-148,0.0,5.7999023717933676e-157,0.0,2.0140453321291146e-50,0.1404891222761123,2.9785012538738343e-148,0.0
svd,3,9,8,2.8848300775775835e-147,0.0,5.120337567293254e-157,0.0,7.524849255642248e-51,7.376775952252576e-06,2.1313636254092558e-147,0.0
svd,3,9,9,2.8842875111938065e-146,0.0,6.871429226179134e-157,0.0,6.2034111356805816e-52,1.2769132216601017e-15,2.014600336258406e-146,0.0
svd,3,9,10,1.0497506818221815e-145,0.0,2.1110177592573403e-156,0.0,1.847702843520356e-51,1.4627534042602687e-30,6.862325782601202e-146,0.0
svd,3,10,5,7.441100510812504e-152,0.0,1.5397549092703077e-153,0.0,1.2218237803721201e-42,0.0322619521697813,6.609329549010997e-152,0.0
svd,3,10,6,4.187041450891297e-150,0.0,7.602008926739816e-155,0.0,2.6616999866448648e-42,0.1407376800420369,3.4357809618112755e-150,0.0
svd,3,10,7,1.3866356594162507e-148,0.0,6.729290805501278e-156,0.0,2.476124210645348e-42,0.9321111313901664,1.0561337792941572e-148,0.0
svd,3,10,8,3.701170638400491e-147,0.0,3.2328565498025186e-157,0.0,5.706845521478718e-46,0.1548532840238329,2.772930220996271e-147,0.0
svd,3,10,9,3.2272406548357842e-146,0.0,2.2510721637719583e-157,0.0,2.2502674163324863e-48,0.0001512904974543,2.3449604922266706e-146,0.0
svd,3,10,10,1.9161149731180924e-145,0.0,6.85741000286509e-157,0.0,4.610823933517606e-46,5.741067894137708e-11,1.2047299124269568e-145,0.0
svd,4,2,5,0.7167363972065819,0.0,2.0984973842979772e-163,0.0,7.899309923261648e-138,0.0,0.5017552016769794,0.0
svd,4,2,6,0.0248025297162049,0.0,5.558899462024463e-166,0.0,3.386055931075882e-147,0.0,0.0616770612894173,0.0
svd,4,2,7,2.0960080883076206e-31,0.0,6.361353586460291e-169,0.0,6.064033256734074e-164,0.0,1.7716805312029577e-29,0.0
svd,4,2,8,9.402356436196932e-57,0.0,1.9745890942841202e-171,0.0,1.326350133770988e-178,0.0,4.948081128122571e-54,0.0
svd,4,2,9,2.534412976066976e-48,0.0,1.042807889908713e-170,0.0,4.2819534993989e-176,0.0,1.7218210838170806e-45,0.0
svd,4,2,10,5.946897247832763e-34,0.0,5.304110075618029e-170,0.0,1.3241756895082056e-172,0.0,3.997016956435703e-31,0.0
svd,4,3,5,1.2369979591829283e-162,0.0,1.3373530746513911e-142,0.0,5.878841803296073e-75,1.9896369921285105e-276,2.5000635110378148e-163,0.0
svd,4,3,6,9.49613899899274e-167,0.0,2.28367842931729e-143,0.0,2.6036327532463367e-87,1.1863726732436043e-303,6.681418753649773e-168,0.0
svd,4,3,7,4.152956751716223e-107,0.0,1.2832416475895886e-141,0.0,4.9354904438315224e-86,9.145168279139056e-297,1.3140367503517341e-108,0.0
svd,4,3,8,2.059515276631976e-17,0.0,6.164457059195625e-145,0.0,3.0564247981087688e-102,4.051182053095302e-300,3.824508865450916e-18,0.0
svd,4,3,9,6.9031231233765045e-12,0.0,1.437124735828631e-148,0.0,3.3676523859539143e-113,3.755502510611537e-293,1.326493932680438e-12,0.0
svd,4,3,10,9.887574611218515e-11,0.0,2.50559096675014e-150,0.0,1.7759722965265754e-118,8.224106640744899e-281,1.4982777576788178e-11,0.0
