emb_type,m,n,k,RMSSTD-lit-gpt-p-val
skipgram,7,5,4,0.0
skipgram,7,5,6,0.0
skipgram,7,5,8,0.0
skipgram,7,5,10,0.0
skipgram,7,6,2,0.0
skipgram,7,6,4,0.0
skipgram,7,6,6,0.0
skipgram,7,6,8,0.0
skipgram,7,6,10,0.0
skipgram,7,7,2,0.0
skipgram,7,7,4,0.0
skipgram,7,7,6,0.0
skipgram,7,7,8,0.0
skipgram,7,7,10,0.0
skipgram,7,8,2,0.0
skipgram,7,8,4,0.0
skipgram,7,8,6,0.0
skipgram,7,8,8,0.0
skipgram,7,8,10,0.0
skipgram,7,9,2,0.0
skipgram,7,9,4,0.0
skipgram,7,9,6,0.0
skipgram,7,9,8,0.0
skipgram,7,9,10,0.0
skipgram,7,10,2,0.0
skipgram,7,10,4,0.0
skipgram,7,10,6,0.0
skipgram,7,10,8,0.0
skipgram,7,10,10,0.0
skipgram,8,2,2,0.0
skipgram,8,2,4,0.0
skipgram,8,2,6,0.0
skipgram,8,2,8,0.0
skipgram,8,2,10,0.0
skipgram,8,3,2,0.0
skipgram,8,3,4,0.0
skipgram,8,3,6,0.0
skipgram,8,3,8,0.0
skipgram,8,3,10,0.0
skipgram,8,4,2,0.0
skipgram,8,4,4,0.0
skipgram,8,4,6,0.0
skipgram,8,4,8,0.0
skipgram,8,4,10,0.0
skipgram,8,5,2,0.0
skipgram,8,5,4,0.0
skipgram,8,5,6,0.0
skipgram,8,5,8,0.0
skipgram,8,5,10,0.0
skipgram,8,6,2,0.0
skipgram,8,6,4,0.0
skipgram,8,6,6,0.0
skipgram,8,6,8,0.0
skipgram,8,6,10,0.0
skipgram,8,7,2,0.0
skipgram,8,7,4,0.0
skipgram,8,7,6,0.0
skipgram,8,7,8,0.0
skipgram,8,7,10,0.0
skipgram,8,8,2,0.0
skipgram,8,8,4,0.0
skipgram,8,8,6,0.0
skipgram,8,8,8,0.0
skipgram,8,8,10,0.0
skipgram,8,9,2,0.0
skipgram,8,9,4,0.0
skipgram,8,9,6,0.0
skipgram,8,9,8,0.0
skipgram,8,9,10,0.0
skipgram,8,10,2,0.0
skipgram,8,10,4,0.0
skipgram,8,10,6,0.0
skipgram,8,10,8,0.0
skipgram,8,10,10,0.0
cbow,1,2,2,8.798089234186e-25
cbow,1,2,4,9.382126694511696e-156
cbow,1,2,6,2.0016020676727736e-213
cbow,1,2,8,3.831277401548532e-232
cbow,1,2,10,4.457229379891903e-223
cbow,1,3,2,1.4108181972397274e-83
cbow,1,3,4,2.1443222447416133e-229
cbow,1,3,6,8.394668330224571e-270
cbow,1,3,8,6.030096289119607e-282
cbow,1,3,10,2.9436715838955174e-281
cbow,1,4,2,1.953772046459793e-142
cbow,1,4,4,5.521369153513897e-270
cbow,1,4,6,2.466718211969449e-295
